Supplementary Table 4. Detailed charateristics of included stuides (ordered by total quality score),,,,,,,,,,,,,,,,,,,,,,
Study ID,PMID,Author name,Year,Study population representativeness,Follow-up (Y/N),Primary exposure of interest (Y/N),Study population by country,Continent,N Total,N AD,AD outcome studied,Stages of AD reported (R/NR),AD diagonosis tool,Sample source,Type of assay reported (R/NR),Number of peripheral immune biomarkers,Age-matched (Y/N),Gender-matched (Y/N),Education-matched (Y/N),Other-matched (Y/N),No matching at all (Y/N),Main analytical methods
1,35079124,Zhang et al.,2022,Regional,Y,Y,UK,Europe,359310,1896,AD,NR,"(ICD)-9 codes, ICD-10 codes, Read codes version 2 (Read V2), and version 3 (Read CTV3)",Plasma and serum,R,3,N,N,N,N,Y,Cox proportional hazard regression models
2,20847399,Gu et al.,2010,Regional,Y,N,US,North America,1219,118,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,age; gender; education; race
3,15148142,Engelhart et al.,2004,Regional,Y,Y,Netherland,Europe,825,140,AD,NR,NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,Cox proportional hazards regression models
4,17011077,Ravaglia et al.,2007,Regional,Y,Y,Italy,Europe,804,68,AD,NR,"NINCDS-ADRDA, NINDS-AIREN",Serum,R,3,N,N,N,Y,N,Cox proportional hazards models
5,16269641,van Oijen et al.,2005,Regional,Y,Y,Netherlands,Europe,2835,230,AD,NR,"NINCDS-ADRDA and DSM-IV, NINDS-AIREN",Plasma,R,2,N,N,N,Y,N,Cox proportional hazards models
6,19542629,Sundelöf et al.,2009,Regional,Y,Y,Sweden,Europe,1811,134,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,2,N,N,N,Y,N,Cox proportional hazards models
7,26673814,Hendrie et al.,2015,Regional,Y,N,US,North America,965,56,AD,NR,ICD-10 and DSM-IV-TR,Plasma,NR,1,N,N,N,Y,N,T-tests for continuous variables and Fisher’s exact tests for categorical variables w
8,26891108,Ritche et al.,2016,Regional,Y,Y,France,Europe,2461,821,AD,NR,DSM-IV10,Plasma,R,3,Y,Y,N,Y,N,Wilcoxon test
9,31450497,Andre et al.,2019,Multi-hospital,Y,Y,France,Europe,636,212,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,Y,N,N,Conditional logistic regressions
10,32557792,Thomas et al.,2020,Regional,Y,Y,UK,Europe,21,21,AD,R,"NIA-AA criteria, FP-CIT scan",Serum,R,6,N,N,N,N,Y,Linear mixed-effects
11,34602472,Hao et al.,2021,Single hospital or clinic,N,Y,China,Asia,374,200,AD,R,NIA-AA,Serum,R,6,Y,Y,Y,N,N,"An independent sample t-test or one-way ANOVA to analyze the normal distribution data. For skewness distribution data, Mann-Whitney U or Kruskal-Wallis tests."
12,17536046,Tan et al.,2007,Regional,Y,Y,USA,North America,691,44,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,Y,N,Cox proportional hazards models
13,19933496,O‘Bryant et al.,2010,Multi-hospital,N,Y,US,North America,366,192,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,Y,N,N,t test for contin- uous variables and w2 test for discrete variables
14,25138786,Chen et al.,2014,Regional,N,Y,China,Asia,106,53,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,Student’s t test; Mann-Whitney U test; Kruskal-Wallis test
15,24907904,Rembach et al.,2014,Multi-hospital,Y,Y,Australian,Australia,964,205,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,N,N,N,N,Y,"Ordered Polynomial Logistic Regression (PLR) was used to assess biomarker significance across HC, MCI and AD groups, and non-transition, transition and stable AD groups. Generalised Linear Modelling (GLM) and Generalised Linear Mixed Modelling (GLMM) were used to assess relationships between HC and AD groups, and non-transition and transition groups and biomarkers, adjusted for age, sex and APOEε4 allele status."
16,28159467,Hsu et al.,2017,Regional,Y,Y,China,Asia,1436,260,AD,NR,ICD-9-CM,NR,NR,1,N,N,N,Y,N,Survival analysis
17,30646251,Tao et al.,2018,Regional,Y,N,US,North America,2614,152,AD,NR,NR,Serum,R,1,N,N,N,N,Y,Cox proportional hazards
18,34237731,Baril et al.,2021,Regional,Y,N,US,North America,259,35,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox proportional harzard
19,32860698,Baril et al.,2021,Regional,Y,N,US,North America,291,33,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox proportional harzard
20,16817867,Rosa et al.,2006,Single hospital or clinic,Y,Y,Italy,Europe,80,40,AD,NR,"NINCDS-ADRDA, DSM-IV ",Plasma,NR,3,Y,Y,Y,Y,N,one-way anova and Student’s t-test.
21,16814429,Speciale et al.,2007,Multi-hospital,N,Y,Europe,Europe,102,51,AD,R,NINCDS-ADRDA,Plasma,R,5,Y,Y,N,N,N,"Kruskall–Wallis, Mann–Whitney"
22,22801742,Doecke et al.,2012,Multi-hospital,N,Y,Australia,Australia,961,207,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,"generalized linear model, adjusted for age, sex, and APOE genotype."
23,22801723,Soares et al.,2012,Multi-hospital,Y,Y,US and Canada,North America,166,112,AD,NR,NR,Plasma,R,7,N,N,N,Y,N,"ANCOVA models, including diagnosis, age, sex, and ApoE allelic status, were used to examine the contribu- tions of these variables to differences across diagnostic groups."
24,27019866,O‘Bryant et al.,2016,Multi-hospital,N,N,France,Europe,144,79,AD,NR,NINCDS-ADRDA,Plasma and serum,R,21,N,N,N,N,Y,x2 and t tests
25,33016923,Duarte et al.,2020,Multi-hospital,N,Y,US,North America,148,108,AD,NR,NINCDS/ADRDAClinical Dementia Rating 0.5/1.0,Plasma,R,9,N,N,N,N,Y,Wilcoxon rank sum test; Fisher’s exact test
26,31414991,Josje et al.,2020,Multi-hospital,N,Y,Norwegian,Europe,242,154,AD,NR,NINCDS-ADRDA,Serum,R,7,N,N,N,N,Y,Mann-Whitney U test.
27,32968032,Amin et al.,2020,Regional,N,Y,UK,Europe,62,31,AD,NR,NINCDS-ADRDA,Serum,R,15,N,N,N,N,Y,Pearson χ2; Kruskal-Wallis
28,34365256,Naudé et al.,2021,Multi-hospital,Y,Y,Netherlands,Europe,268,88,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Linear mixed models
