PMID,Authors,Publication year,Total,Representativenss,Sample_size,Follow_up,ADRD_assessment,Biomarker_assessment,Systematic_assessment,Comparison_selection,Statistical_methods,Confounding_adjustment,Finding_reporting
35079124,Zhang et al.,2022,19,2,2,2,1,2,2,2,2,2,2
20847399,Gu et al.,2010,17,2,2,2,1,2,0,2,2,2,2
15148142,Engelhart et al.,2004,16,2,1,2,1,2,1,2,2,1,2
17011077,Ravaglia et al.,2007,16,2,2,2,1,2,1,2,2,0,2
16269641,van Oijen et al.,2005,15,2,2,2,1,2,0,2,2,0,2
19542629,Sundelöf et al.,2009,15,2,2,2,1,2,0,2,2,0,2
26673814,Hendrie et al.,2015,15,2,1,2,1,1,0,2,2,2,2
26891108,Ritche et al.,2016,15,2,2,2,1,2,1,1,2,1,1
31450497,Andre et al.,2019,15,1,1,2,1,2,0,2,2,2,2
32557792,Thomas et al.,2020,15,2,0,2,2,2,2,1,2,0,2
34602472,Hao et al.,2021,15,0,1,0,2,2,2,2,2,2,2
17536046,Tan et al.,2007,14,2,1,2,1,2,0,2,2,0,2
19933496,O‘Bryant et al.,2010,13,1,1,0,1,2,0,2,2,2,2
25138786,Chen et al.,2014,13,2,1,0,1,2,1,1,2,1,2
24907904,Rembach et al.,2014,13,1,1,2,1,2,0,2,2,0,2
28159467,Hsu et al.,2017,13,2,2,2,1,0,0,2,1,2,1
30646251,Tao et al.,2018,13,2,2,2,0,2,0,2,2,0,1
34237731,Baril et al.,2021,13,2,0,2,1,2,0,2,2,0,2
32860698,Baril et al.,2021,13,2,0,2,1,2,0,2,2,0,2
16817867,Rosa et al.,2006,12,0,0,2,1,1,1,2,1,2,2
16814429,Speciale et al.,2007,12,1,1,0,2,2,1,1,1,1,2
22801742,Doecke et al.,2012,12,1,1,0,0,2,1,2,2,1,2
22801723,Soares et al.,2012,12,1,1,2,0,2,2,1,2,0,1
27019866,O_Bryant et al.,2016,12,1,1,0,1,2,2,0,1,2,2
33016923,Duarte et al.,2020,12,1,1,0,1,2,2,0,2,2,1
31414991,Josje et al.,2020,12,1,1,0,1,2,2,0,2,1,2
