Supplementary Table 4. Detailed charateristics of included stuides,,,,,,,,,,,,,,,,,,,,,,
Study ID,PMID,Author name,Year,Study population representativeness,Follow-up (Y/N),Primary exposure of interest (Y/N),Study population by region,Continent,N Total,N AD,AD outcome studied,Stages of AD reported (R/NR),AD diagonosis tool,Sample source,Type of assay reported (R/NR),Number of peripheral immune biomarkers,Age-matched (Y/N),Gender-matched (Y/N),Education-matched (Y/N),Other-matched (Y/N),No matching at all (Y/N),Main analytical methods
1,35079124,Zhang et al.,2022,Regional,Y,Y,UK,Europe,359310,1896,Dementia,NR,"ICD-9, ICD-10, Read codes version 2 (Read V2), and version 3 (Read CTV3)",Plasma and serum,R,8,N,N,N,N,Y,Cox regression
2,35527553,Fohner et al.,2022,Regional,Y,Y,US,North America,1928,272,Dementia,NR,DSM-IV,Blood,R,14,N,N,N,N,Y,Cox regression
3,37584418,Chen et al.,2023,Regional,Y,Y,US,North America,837,64,AD,NR,NINCDS-ADRDA and DSM-IV,Blood,R,15,N,N,N,N,Y,Cox regression
4,20847399,Gu et al.,2010,Regional,Y,N,US,North America,1219,118,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,age; gender; education; race
5,36215071,Luo et al.,2022,National,Y,Y,Denmark,Europe,101582,1588,AD,NR,ICD-10,Blood,NR,6,N,N,N,N,Y,Cox regression
6,36083988,Fang et al.,2022,Regional,Y,Y,US,North America,1616,90,AD,NR,NINCDS-ADRDA and DSM-IV,Blood,R,11,N,N,N,N,Y,Cox regression
7,17011077,Ravaglia et al.,2007,Regional,Y,Y,Italy,Europe,804,68,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,Y,N,Cox regression
8,37464278,Zhang et al.,2023,Regional,Y,N,US,North America,3197,281,Dementia,NR,ICD-9,Blood,R,2,N,N,N,N,Y,Cox regression
9,15148142,Engelhart et al.,2004,Regional,Y,Y,Netherland,Europe,825,140,AD,NR,NINCDS-ADRDA,Plasma,R,5,N,N,N,N,Y,Cox regression
10,34563836,Stebbins et al.,2021,Regional,Y,Y,US,North America,1337,112,Dementia,NR,Neuropsychologist or neurologist diagnosis with NINCDS-ADRDA,Blood,R,2,N,N,N,N,Y,Linear mixed effects models
11,26891108,Ritche et al.,2016,Regional,Y,Y,France,Europe,2461,821,AD,NR,DSM-IV,Plasma,R,3,Y,Y,N,Y,N,Wilcoxon test
12,16269641,van Oijen et al.,2005,Regional,Y,Y,Netherlands,Europe,2835,230,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,Y,N,Cox regression
13,19542629,Sundelöf et al.,2009,Regional,Y,Y,Sweden,Europe,1811,134,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,2,N,N,N,Y,N,Cox regression
14,37467317,Walker et al.,2023,Regional,Y,Y,US,North America,10981,428,Dementia,NR,NIA-AA and DSM-V,Blood,R,1,N,N,N,N,Y,Cox regression
15,26673814,Hendrie et al.,2015,Regional,Y,N,US,North America,965,56,AD,NR,ICD-10 and DSM-IV-TR,Plasma,NR,1,N,N,N,Y,N,T tests for continuous variables and Fisher’s exacT tests for categorical variables w
16,32557792,Thomas et al.,2020,Regional,Y,Y,UK,Europe,21,21,AD,R,NIA-AA and FP-CIT scan,Serum,R,6,N,N,N,N,Y,Linear mixed-effects
17,31450497,Andre et al.,2019,Multi-hospital,Y,Y,France,Europe,636,212,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,Y,Y,N,N,Conditional logistic regressions
18,34602472,Hao et al.,2021,Single hospital or clinic,N,Y,China,Asia,374,200,AD,R,NIA-AA,Serum,R,6,Y,Y,Y,N,N,T test or one-way ANOVA to analyze the normal distribution data
19,30927918,Willik et al.,2019,Regional,Y,Y,Netherlands,Europe,8313,664,Dementia,NR,NINCDS-ADRDA and DSM-III,Blood,R,3,N,N,N,N,N,Cox regression
20,37302029,Chou et al.,2023,Regional,Y,Y,Hong Kong,Aisa,9760,529,AD,NR,ICD-9,Blood,NR,1,N,N,N,N,Y,Cox regression
21,17536046,Tan et al.,2007,Regional,Y,Y,US,North America,691,44,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,Y,N,Cox regression
22,19245412,Kravitz et al.,2009,Regional,Y,Y,Finland,Europe,227,82,Dementia,NR,DSM-IV,Serum,R,1,N,N,N,N,Y,Cox regression
23,28159467,Hsu et al.,2017,Regional,Y,Y,China,Asia,1436,260,Dementia,NR,ICD-9-CM,NR,NR,1,N,N,N,Y,N,Survival analysis
24,30646251,Tao et al.,2018,Regional,Y,N,US,North America,2614,152,AD,NR,Neuropsychologist or neurologist diagnosis with MMSE,Serum,R,1,N,N,N,N,Y,Cox regression
25,35172860,Fan et al.,2022,Regional,Y,Y,Taiwan,Asia,4113,106,Dementia,NR,ICD-9,Blood,NR,1,N,N,N,N,Y,Cox regression
26,25138786,Chen et al.,2014,Regional,N,Y,China,Asia,106,53,AD,NR,NINCDS-ADRDA,Serum,R,3,Y,Y,N,N,N,Student’s T test; Mann-Whitney U test; Kruskal-Wallis test
27,34237731,Baril et al.,2021,Regional,Y,N,US,North America,259,35,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox regression
28,32860698,Baril et al.,2021,Regional,Y,N,US,North America,291,33,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Cox regression
29,24907904,Rembach et al.,2014,Multi-hospital,Y,Y,Australia,Australia,964,205,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,N,N,N,N,Y,Ordered polynomial logistic regression
30,19933496,O‘Bryant et al.,2010,Multi-hospital,N,Y,US,North America,366,192,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,Y,N,N,T test for continuous variables and Chi-sq test for discrete variables
31,36439057,Farina et al.,2022,National,N,Y,US,North America,5959,197,Dementia,NR,Classification of cognition score,Blood,R,4,N,N,N,N,Y,Multinomial logistic regression
32,32968032,Amin et al.,2020,Regional,N,Y,UK,Europe,62,31,AD,NR,NINCDS-ADRDA,Serum,R,15,N,N,N,N,Y,Pearson Chi-sq; Kruskal-Wallis
33,34365256,Naudé et al.,2021,Multi-hospital,Y,Y,Netherlands,Europe,268,88,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Linear mixed models
34,22801723,Soares et al.,2012,Multi-hospital,Y,Y,US and Canada,North America,166,112,AD,NR,NR,Plasma,R,7,N,N,N,Y,N,"ANCOVA models, including diagnosis, age, sex, and ApoE allelic status, were used to examine the contribu- tions of these variables to differences across diagnostic groups."
